Center Name,Location,Mobile Number,Consultant Name
GIPS Hospital & Deaddiction Center,Ahmedabad,+91 9825 000 036,Dr. Kiran Patel (Clinical Head)
MGM Hospital,Allahabad,+91 9825 000 024,Dr. Rajesh Verma (Chief Psychiatrist)
Blissful Mind,Ambala,+91 9825 000 010,Dr. Neha Gupta (Clinical Psychologist)
The Hermitage Rehab,Amritsar,+91 7087 442 300,Dr. Harkirat Singh (Managing Director)
ARADHANA Organization,Andhra Pradesh,+91 9825 000 016,Ms. Priya Reddy (Founder)
Cadabam’s ANANYA,Bangalore,+91 9825 000 034,Dr. Shweta Rao (Chief Psychiatrist)
Kanasu Rehabilitation,Bangalore,+91 9825 000 020,Mr. Ravi Kumar (Program Director)
Jagruti Rehabilitation Centre - Bangalore,Bangalore,+91 9820 000 001,Dr. Amar Shinde (Founder)
Cadabam's Amitha,Bangalore,+91 9741 597 509,Dr. Madhukar Babu (Chief Psychiatrist)
Sahara Recovery Centre,Belgaum,+91 9825 000 031,Dr. Nilesh Patil (Chief Psychiatrist)
Sreeniketan Rehabilitation Centre,Chathannoor,+91 9825 000 018,Dr. Anitha Menon (Chief Psychiatrist)
Jagruti Rehabilitation Centre - Chennai,Chennai,+91 9820 000 002,Dr. Amar Shinde (Founder)
Dr. Sivarajan Clinic & Sri Lakshmi Hospitals,Chennai,+91 9825 000 019,Dr. Sivarajan (Founder)
Abhasa Rehabilitation Center - Coimbatore,Coimbatore,+91 9152 000 600,Mr. Sharan (Program Director)
Lotus Life Center,Coimbatore,+91 9843 618 084,Dr. R. Manikandan (Founder and Director)
Kasthurba Gadhi De Addiction Centre,Coimbatore,+91 9825 000 013,Dr. Lakshmi Narayan (Founder)
Saaral De-Addiction And Psychiatry Centre,Coimbatore,+91 9825 000 030,Dr. Kavitha Ramesh (Clinical Psychologist)
Maanavta Psychiatry and De-Addiction Centre,Dehradun,+91 9997 024 460,Dr. Anil Joshi (Chief Psychiatrist)
New Life Rehabilitation Centre,Delhi,+91 9825 000 012,Dr. Ramesh Kumar (Chief Psychiatrist)
Vinayak Foundation,Delhi,+91 9825 000 023,Dr. Vinayak Sharma (Clinical Director)
Aroha Rehab,Faridabad,+91 9825 000 005,Mr. Rajeev Malhotra (Founder)
Jeevan Daan Treatment & Rehabilitation Centre,Firozpur,+91 9825 000 040,Dr. Harpreet Singh (Program Director)
SARVAM,Gurgaon,+91 9825 000 033,Dr. Anjali Mehta (Clinical Director)
Athena Behavioral Health,Gurgaon,+91 9289 223 454,Ms. Amrita Sharma (Clinical Head)
Generation Care Foundation,Gwalior,+91 9825 000 015,Dr. Suresh Chandra (Clinical Head)
Hope Trust,Hyderabad,+91 9825 000 008,Dr. Anjali Rao (Program Director)
Galaxy Club – Divine Light De-Addiction Centre,Imphal,+91 9825 000 017,Dr. John Singh (Clinical Director)
Holistic Vista Treatment Centre,Imphal East,+91 9825 000 037,Dr. Renu Devi (Program Director)
Navchetna De-addiction Center,Indore,+91 9825 000 028,Dr. Rakesh Sharma (Program Director)
Abhasa Rehabilitation Center - Karjat,Karjat,+91 9152 000 600,Mr. Noel (Clinical Manager)
Sodepur Anashakti Foundation,Kolkata,+91 9825 000 022,Mr. Arjun Das (Founder)
Belgharia Well Wisher Foundation,Kolkata,+91 9825 000 035,Mr. Subhash Chandra (Founder)
MindPlus Ludhiana,Ludhiana,+91 9825 000 006,Dr. Simran Kaur (Chief Psychiatrist)
Jeevanidhi-Sathivam,Mangalore,+91 9825 000 026,Dr. Sathivam (Founder)
Anatta Humanversity,Mumbai,+91 9825 000 009,Mr. Vikram Patel (Founder)
Jagruti Rehabilitation Centre - Mumbai,Mumbai,+91 9820 000 000,Dr. Amar Shinde (Founder)
Veda Rehabilitation and Wellness,Mumbai,+91 9172 843 010,Ms. Richa Vashista (Clinical Psychologist)
Care and Concern Trust,Mumbai,+91 9825 000 011,Mr. Sanjay Mehta (Director)
Navjeevan Nasha Mukti Kendra,Nagpur,+91 9825 000 032,Mr. Rajiv Deshmukh (Program Director)
Aastha Deaddiction Center,Nanded,+91 9825 000 025,Dr. Sunita Patil (Program Director)
Sukoon Recovery Center,New Delhi,+91 9818 016 016,Dr. Rachna Khanna Singh (Mental Wellness Consultant)
Sanctum Wellness and Healing,New Delhi,+91 9825 000 004,Dr. Meena Sharma (Chief Psychologist)
Hope Rehabs,New Delhi,+91 9910 208 000,Mr. Bhupender Kumar (Founder & Recovery Specialist)
Mind Soul Life,Noida,+91 9825 000 039,Ms. Ananya Sharma (Clinical Psychologist)
Loona Neuropsychiatry De-Addiction Centre,Panchkula,+91 9825 000 021,Dr. Meena Loona (Clinical Head)
IAM FINE FOUNDATION,Pune,+91 9825 000 029,Mr. Amit Joshi (Founder)
Zorbacare,Pune,+91 9825 000 007,Dr. Rahul Deshmukh (Clinical Head)
Samarpan Recovery Centre,Pune,+91 8181 885 300,Dr. Kedar Tilwe (Clinical Consultant)
Lifeline Deaddiction and Rehabilitation Home,Pune,+91 9825 000 038,Dr. Sameer Kulkarni (Chief Psychiatrist)
Navodya Nasha Mukti Kendra,Shimla,+91 9825 000 014,Mr. Mohan Lal (Program Director)
Sevok Prayas Foundation,Siliguri,+91 9733 139 832,Mr. Abhishek Pradhan (Program Director)
Jivan Jyoti Drug De-Addiction Centre,Unnao,+91 9825 000 027,Dr. Jyoti Singh (Clinical Head)
Alpha Healing Center,Vadodara,+91 9825 000 003,Dr. Kiran Shah (Clinical Director)
